,id,model,src,candidate,reference,coherence,consistency,fluency,relevance,exp_bart_score_cnn_src_hypo,delta_coherence,delta_consistency,delta_fluency,delta_relevance
2,cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,M9,"( CNN ) Donald Sterling 's racist remarks cost him an NBA team last year . But now it 's his former female companion who has lost big . A Los Angeles judge has ordered V. Stiviano to pay back more than $ 2.6 million in gifts after Sterling 's wife sued her . In the lawsuit , Rochelle `` Shelly '' Sterling accused Stiviano of targeting extremely wealthy older men . She claimed Donald Sterling used the couple 's money to buy Stiviano a Ferrari , two Bentleys and a Range Rover , and that he helped her get a $ 1.8 million duplex . Who is V. Stiviano ? Stiviano countered that there was nothing wrong with Donald Sterling giving her gifts and that she never took advantage of the former Los Angeles Clippers owner , who made much of his fortune in real estate . Shelly Sterling was thrilled with the court decision Tuesday , her lawyer told CNN affiliate KABC . `` This is a victory for the Sterling family in recovering the $ 2,630,000 that Donald lavished on a conniving mistress , '' attorney Pierce O'Donnell said in a statement . `` It also sets a precedent that the injured spouse can recover damages from the recipient of these ill-begotten gifts . '' Stiviano 's gifts from Donald Sterling did n't just include uber-expensive items like luxury cars . According to the Los Angeles Times , the list also includes a $ 391 Easter bunny costume , a $ 299 two-speed blender and a $ 12 lace thong . Donald Sterling 's downfall came after an audio recording surfaced of the octogenarian arguing with Stiviano . In the tape , Sterling chastises Stiviano for posting pictures on social media of her posing with African-Americans , including basketball legend Magic Johnson . `` In your lousy f**ing Instagrams , you do n't have to have yourself with -- walking with black people , '' Sterling said in the audio first posted by TMZ . He also tells Stiviano not to bring Johnson to Clippers games and not to post photos with the Hall of Famer so Sterling 's friends can see . `` Admire him , bring him here , feed him , f**k him , but do n't put ( Magic ) on an Instagram for the world to have to see so they have to call me , '' Sterling said . NBA Commissioner Adam Silver banned Sterling from the league , fined him $ 2.5 million and pushed through a charge to terminate all of his ownership rights in the franchise . Fact check : Donald Sterling 's claims vs. reality CNN 's Dottie Evans contributed to this report .",Donald sterling 's remarks cost him an nba team last year . A los angeles judge has ordered v. stiviano to pay back more than $ 2.6 million . Rochelle `` shelly `` sterling accused stiviano of targeting wealthy older men . Stiviano says there was nothing wrong with donald sterling giving her gifts .,"V. Stiviano must pay back $ 2.6 million in gifts from Donald Sterling . Sterling 's wife claimed the ex-Clippers used the couple 's money for the gifts . The items included a Ferrari , two Bentleys and a Range Rover .",0.41666666666666663,1.0,1.0,0.8333333333333333,0.1222718945412056,0.29439477212546106,0.8777281054587944,0.8777281054587944,0.7110614387921277
4,cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,M8,"( CNN ) Donald Sterling 's racist remarks cost him an NBA team last year . But now it 's his former female companion who has lost big . A Los Angeles judge has ordered V. Stiviano to pay back more than $ 2.6 million in gifts after Sterling 's wife sued her . In the lawsuit , Rochelle `` Shelly '' Sterling accused Stiviano of targeting extremely wealthy older men . She claimed Donald Sterling used the couple 's money to buy Stiviano a Ferrari , two Bentleys and a Range Rover , and that he helped her get a $ 1.8 million duplex . Who is V. Stiviano ? Stiviano countered that there was nothing wrong with Donald Sterling giving her gifts and that she never took advantage of the former Los Angeles Clippers owner , who made much of his fortune in real estate . Shelly Sterling was thrilled with the court decision Tuesday , her lawyer told CNN affiliate KABC . `` This is a victory for the Sterling family in recovering the $ 2,630,000 that Donald lavished on a conniving mistress , '' attorney Pierce O'Donnell said in a statement . `` It also sets a precedent that the injured spouse can recover damages from the recipient of these ill-begotten gifts . '' Stiviano 's gifts from Donald Sterling did n't just include uber-expensive items like luxury cars . According to the Los Angeles Times , the list also includes a $ 391 Easter bunny costume , a $ 299 two-speed blender and a $ 12 lace thong . Donald Sterling 's downfall came after an audio recording surfaced of the octogenarian arguing with Stiviano . In the tape , Sterling chastises Stiviano for posting pictures on social media of her posing with African-Americans , including basketball legend Magic Johnson . `` In your lousy f**ing Instagrams , you do n't have to have yourself with -- walking with black people , '' Sterling said in the audio first posted by TMZ . He also tells Stiviano not to bring Johnson to Clippers games and not to post photos with the Hall of Famer so Sterling 's friends can see . `` Admire him , bring him here , feed him , f**k him , but do n't put ( Magic ) on an Instagram for the world to have to see so they have to call me , '' Sterling said . NBA Commissioner Adam Silver banned Sterling from the league , fined him $ 2.5 million and pushed through a charge to terminate all of his ownership rights in the franchise . Fact check : Donald Sterling 's claims vs. reality CNN 's Dottie Evans contributed to this report .","Rochelle `` shelly `` sterling accused stiviano of targeting extremely wealthy older men . She claimed donald sterling used the couple 's money to buy stiviano a ferrari , two bentleys and a range rover . Stiviano 's gifts from donald sterling did n't just include uber-expensive items like luxury cars .","V. Stiviano must pay back $ 2.6 million in gifts from Donald Sterling . Sterling 's wife claimed the ex-Clippers used the couple 's money for the gifts . The items included a Ferrari , two Bentleys and a Range Rover .",0.5833333333333334,1.0,1.0,0.33333333333333337,0.15678378295970744,0.42654955037362596,0.8432162170402926,0.8432162170402926,0.17654955037362594
7,cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,M2,"( CNN ) Donald Sterling 's racist remarks cost him an NBA team last year . But now it 's his former female companion who has lost big . A Los Angeles judge has ordered V. Stiviano to pay back more than $ 2.6 million in gifts after Sterling 's wife sued her . In the lawsuit , Rochelle `` Shelly '' Sterling accused Stiviano of targeting extremely wealthy older men . She claimed Donald Sterling used the couple 's money to buy Stiviano a Ferrari , two Bentleys and a Range Rover , and that he helped her get a $ 1.8 million duplex . Who is V. Stiviano ? Stiviano countered that there was nothing wrong with Donald Sterling giving her gifts and that she never took advantage of the former Los Angeles Clippers owner , who made much of his fortune in real estate . Shelly Sterling was thrilled with the court decision Tuesday , her lawyer told CNN affiliate KABC . `` This is a victory for the Sterling family in recovering the $ 2,630,000 that Donald lavished on a conniving mistress , '' attorney Pierce O'Donnell said in a statement . `` It also sets a precedent that the injured spouse can recover damages from the recipient of these ill-begotten gifts . '' Stiviano 's gifts from Donald Sterling did n't just include uber-expensive items like luxury cars . According to the Los Angeles Times , the list also includes a $ 391 Easter bunny costume , a $ 299 two-speed blender and a $ 12 lace thong . Donald Sterling 's downfall came after an audio recording surfaced of the octogenarian arguing with Stiviano . In the tape , Sterling chastises Stiviano for posting pictures on social media of her posing with African-Americans , including basketball legend Magic Johnson . `` In your lousy f**ing Instagrams , you do n't have to have yourself with -- walking with black people , '' Sterling said in the audio first posted by TMZ . He also tells Stiviano not to bring Johnson to Clippers games and not to post photos with the Hall of Famer so Sterling 's friends can see . `` Admire him , bring him here , feed him , f**k him , but do n't put ( Magic ) on an Instagram for the world to have to see so they have to call me , '' Sterling said . NBA Commissioner Adam Silver banned Sterling from the league , fined him $ 2.5 million and pushed through a charge to terminate all of his ownership rights in the franchise . Fact check : Donald Sterling 's claims vs. reality CNN 's Dottie Evans contributed to this report .","A los angeles judge has ordered v. stiviano to pay back more than $ 2.6 million in gifts after sterling 's wife sued her . In the lawsuit , rochelle `` shelly `` sterling accused stiviano of targeting extremely wealthy older men . She claimed donald sterling used the couple 's money to buy stiviano a ferrari , two bentleys and a range rover , and that he helped her get a $ 1.8 million duplex .","V. Stiviano must pay back $ 2.6 million in gifts from Donald Sterling . Sterling 's wife claimed the ex-Clippers used the couple 's money for the gifts . The items included a Ferrari , two Bentleys and a Range Rover .",0.8333333333333333,1.0,0.8333333333333333,0.8333333333333333,0.1809639337533973,0.652369399579936,0.8190360662466027,0.652369399579936,0.652369399579936
8,cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,M23,"( CNN ) Donald Sterling 's racist remarks cost him an NBA team last year . But now it 's his former female companion who has lost big . A Los Angeles judge has ordered V. Stiviano to pay back more than $ 2.6 million in gifts after Sterling 's wife sued her . In the lawsuit , Rochelle `` Shelly '' Sterling accused Stiviano of targeting extremely wealthy older men . She claimed Donald Sterling used the couple 's money to buy Stiviano a Ferrari , two Bentleys and a Range Rover , and that he helped her get a $ 1.8 million duplex . Who is V. Stiviano ? Stiviano countered that there was nothing wrong with Donald Sterling giving her gifts and that she never took advantage of the former Los Angeles Clippers owner , who made much of his fortune in real estate . Shelly Sterling was thrilled with the court decision Tuesday , her lawyer told CNN affiliate KABC . `` This is a victory for the Sterling family in recovering the $ 2,630,000 that Donald lavished on a conniving mistress , '' attorney Pierce O'Donnell said in a statement . `` It also sets a precedent that the injured spouse can recover damages from the recipient of these ill-begotten gifts . '' Stiviano 's gifts from Donald Sterling did n't just include uber-expensive items like luxury cars . According to the Los Angeles Times , the list also includes a $ 391 Easter bunny costume , a $ 299 two-speed blender and a $ 12 lace thong . Donald Sterling 's downfall came after an audio recording surfaced of the octogenarian arguing with Stiviano . In the tape , Sterling chastises Stiviano for posting pictures on social media of her posing with African-Americans , including basketball legend Magic Johnson . `` In your lousy f**ing Instagrams , you do n't have to have yourself with -- walking with black people , '' Sterling said in the audio first posted by TMZ . He also tells Stiviano not to bring Johnson to Clippers games and not to post photos with the Hall of Famer so Sterling 's friends can see . `` Admire him , bring him here , feed him , f**k him , but do n't put ( Magic ) on an Instagram for the world to have to see so they have to call me , '' Sterling said . NBA Commissioner Adam Silver banned Sterling from the league , fined him $ 2.5 million and pushed through a charge to terminate all of his ownership rights in the franchise . Fact check : Donald Sterling 's claims vs. reality CNN 's Dottie Evans contributed to this report .","A los angeles judge orders v. stiviano to pay back more than $ 2.6 million in gifts . Rochelle `` shelly '' sterling accused stiviano of targeting extremely wealthy older men . She claimed donald sterling used the couple 's money to buy stiviano a ferrari , two bentleys and a range rover .","V. Stiviano must pay back $ 2.6 million in gifts from Donald Sterling . Sterling 's wife claimed the ex-Clippers used the couple 's money for the gifts . The items included a Ferrari , two Bentleys and a Range Rover .",0.9166666666666667,1.0,1.0,0.8333333333333333,0.18033545355870942,0.7363312131079573,0.8196645464412906,0.8196645464412906,0.6529978797746239
11,cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,M5,"( CNN ) Donald Sterling 's racist remarks cost him an NBA team last year . But now it 's his former female companion who has lost big . A Los Angeles judge has ordered V. Stiviano to pay back more than $ 2.6 million in gifts after Sterling 's wife sued her . In the lawsuit , Rochelle `` Shelly '' Sterling accused Stiviano of targeting extremely wealthy older men . She claimed Donald Sterling used the couple 's money to buy Stiviano a Ferrari , two Bentleys and a Range Rover , and that he helped her get a $ 1.8 million duplex . Who is V. Stiviano ? Stiviano countered that there was nothing wrong with Donald Sterling giving her gifts and that she never took advantage of the former Los Angeles Clippers owner , who made much of his fortune in real estate . Shelly Sterling was thrilled with the court decision Tuesday , her lawyer told CNN affiliate KABC . `` This is a victory for the Sterling family in recovering the $ 2,630,000 that Donald lavished on a conniving mistress , '' attorney Pierce O'Donnell said in a statement . `` It also sets a precedent that the injured spouse can recover damages from the recipient of these ill-begotten gifts . '' Stiviano 's gifts from Donald Sterling did n't just include uber-expensive items like luxury cars . According to the Los Angeles Times , the list also includes a $ 391 Easter bunny costume , a $ 299 two-speed blender and a $ 12 lace thong . Donald Sterling 's downfall came after an audio recording surfaced of the octogenarian arguing with Stiviano . In the tape , Sterling chastises Stiviano for posting pictures on social media of her posing with African-Americans , including basketball legend Magic Johnson . `` In your lousy f**ing Instagrams , you do n't have to have yourself with -- walking with black people , '' Sterling said in the audio first posted by TMZ . He also tells Stiviano not to bring Johnson to Clippers games and not to post photos with the Hall of Famer so Sterling 's friends can see . `` Admire him , bring him here , feed him , f**k him , but do n't put ( Magic ) on an Instagram for the world to have to see so they have to call me , '' Sterling said . NBA Commissioner Adam Silver banned Sterling from the league , fined him $ 2.5 million and pushed through a charge to terminate all of his ownership rights in the franchise . Fact check : Donald Sterling 's claims vs. reality CNN 's Dottie Evans contributed to this report .","( cnn ) donald sterling 's racist remarks cost him an nba team last year . But now it 's his former female companion who has lost big . A los angeles judge has ordered v. stiviano to pay back more than $ 2.6 million in gifts after sterling 's wife sued her . In the lawsuit , rochelle `` shelly `` sterling accused stiviano of targeting extremely wealthy older men .","V. Stiviano must pay back $ 2.6 million in gifts from Donald Sterling . Sterling 's wife claimed the ex-Clippers used the couple 's money for the gifts . The items included a Ferrari , two Bentleys and a Range Rover .",0.9166666666666667,1.0,1.0,0.9166666666666667,0.16016008928079442,0.7565065773858723,0.8398399107192056,0.8398399107192056,0.7565065773858723
12,cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,M12,"( CNN ) Donald Sterling 's racist remarks cost him an NBA team last year . But now it 's his former female companion who has lost big . A Los Angeles judge has ordered V. Stiviano to pay back more than $ 2.6 million in gifts after Sterling 's wife sued her . In the lawsuit , Rochelle `` Shelly '' Sterling accused Stiviano of targeting extremely wealthy older men . She claimed Donald Sterling used the couple 's money to buy Stiviano a Ferrari , two Bentleys and a Range Rover , and that he helped her get a $ 1.8 million duplex . Who is V. Stiviano ? Stiviano countered that there was nothing wrong with Donald Sterling giving her gifts and that she never took advantage of the former Los Angeles Clippers owner , who made much of his fortune in real estate . Shelly Sterling was thrilled with the court decision Tuesday , her lawyer told CNN affiliate KABC . `` This is a victory for the Sterling family in recovering the $ 2,630,000 that Donald lavished on a conniving mistress , '' attorney Pierce O'Donnell said in a statement . `` It also sets a precedent that the injured spouse can recover damages from the recipient of these ill-begotten gifts . '' Stiviano 's gifts from Donald Sterling did n't just include uber-expensive items like luxury cars . According to the Los Angeles Times , the list also includes a $ 391 Easter bunny costume , a $ 299 two-speed blender and a $ 12 lace thong . Donald Sterling 's downfall came after an audio recording surfaced of the octogenarian arguing with Stiviano . In the tape , Sterling chastises Stiviano for posting pictures on social media of her posing with African-Americans , including basketball legend Magic Johnson . `` In your lousy f**ing Instagrams , you do n't have to have yourself with -- walking with black people , '' Sterling said in the audio first posted by TMZ . He also tells Stiviano not to bring Johnson to Clippers games and not to post photos with the Hall of Famer so Sterling 's friends can see . `` Admire him , bring him here , feed him , f**k him , but do n't put ( Magic ) on an Instagram for the world to have to see so they have to call me , '' Sterling said . NBA Commissioner Adam Silver banned Sterling from the league , fined him $ 2.5 million and pushed through a charge to terminate all of his ownership rights in the franchise . Fact check : Donald Sterling 's claims vs. reality CNN 's Dottie Evans contributed to this report .",Rochelle `` shelly `` sterling accused stiviano of targeting extremely wealthy older men . She claimed donald sterling used the couple 's money to buy stiviano a ferrari . Stiviano countered that there was nothing wrong with donald sterling giving her gifts .,"V. Stiviano must pay back $ 2.6 million in gifts from Donald Sterling . Sterling 's wife claimed the ex-Clippers used the couple 's money for the gifts . The items included a Ferrari , two Bentleys and a Range Rover .",0.41666666666666663,1.0,1.0,0.16666666666666669,0.14458228272280116,0.27208438394386547,0.8554177172771988,0.8554177172771988,0.022084383943865527
14,cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,M14,"( CNN ) Donald Sterling 's racist remarks cost him an NBA team last year . But now it 's his former female companion who has lost big . A Los Angeles judge has ordered V. Stiviano to pay back more than $ 2.6 million in gifts after Sterling 's wife sued her . In the lawsuit , Rochelle `` Shelly '' Sterling accused Stiviano of targeting extremely wealthy older men . She claimed Donald Sterling used the couple 's money to buy Stiviano a Ferrari , two Bentleys and a Range Rover , and that he helped her get a $ 1.8 million duplex . Who is V. Stiviano ? Stiviano countered that there was nothing wrong with Donald Sterling giving her gifts and that she never took advantage of the former Los Angeles Clippers owner , who made much of his fortune in real estate . Shelly Sterling was thrilled with the court decision Tuesday , her lawyer told CNN affiliate KABC . `` This is a victory for the Sterling family in recovering the $ 2,630,000 that Donald lavished on a conniving mistress , '' attorney Pierce O'Donnell said in a statement . `` It also sets a precedent that the injured spouse can recover damages from the recipient of these ill-begotten gifts . '' Stiviano 's gifts from Donald Sterling did n't just include uber-expensive items like luxury cars . According to the Los Angeles Times , the list also includes a $ 391 Easter bunny costume , a $ 299 two-speed blender and a $ 12 lace thong . Donald Sterling 's downfall came after an audio recording surfaced of the octogenarian arguing with Stiviano . In the tape , Sterling chastises Stiviano for posting pictures on social media of her posing with African-Americans , including basketball legend Magic Johnson . `` In your lousy f**ing Instagrams , you do n't have to have yourself with -- walking with black people , '' Sterling said in the audio first posted by TMZ . He also tells Stiviano not to bring Johnson to Clippers games and not to post photos with the Hall of Famer so Sterling 's friends can see . `` Admire him , bring him here , feed him , f**k him , but do n't put ( Magic ) on an Instagram for the world to have to see so they have to call me , '' Sterling said . NBA Commissioner Adam Silver banned Sterling from the league , fined him $ 2.5 million and pushed through a charge to terminate all of his ownership rights in the franchise . Fact check : Donald Sterling 's claims vs. reality CNN 's Dottie Evans contributed to this report .","Donald sterling 's wife sued stiviano of targeting extremely wealthy older men . She claimed donald sterling used the couple 's money to buy stiviano a ferrari , bentleys and a range rover . Stiviano 's gifts from donald sterling did n't just include uber-expensive items like luxury cars .","V. Stiviano must pay back $ 2.6 million in gifts from Donald Sterling . Sterling 's wife claimed the ex-Clippers used the couple 's money for the gifts . The items included a Ferrari , two Bentleys and a Range Rover .",0.41666666666666663,1.0,0.8333333333333333,0.5833333333333334,0.15919656827538267,0.257470098391284,0.8408034317246174,0.6741367650579506,0.4241367650579507
25,cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,M20,"( CNN ) A North Pacific gray whale has earned a spot in the record books after completing the longest migration of a mammal ever recorded . The whale , named Varvara , swam nearly 14,000 miles ( 22,500 kilometers ) , according to a release from Oregon State University , whose scientists helped conduct the whale-tracking study . Varvara , which is Russian for `` Barbara , '' left her primary feeding ground off Russia 's Sakhalin Island to cross the Pacific Ocean and down the West Coast of the United States to Baja , Mexico . Varvara 's journey surpassed a record listed on the Guinness Worlds Records website . It said the previous record was set by a humpback whale that swam a mere 10,190-mile round trip between the `` warm breeding waters near the equator and the colder food-rich waters of the Arctic and Antarctic regions . '' Records are nice , but Bruce Mate , the lead author of the study , thinks the long trip might say more about the whale than just its ability to swim . During her 14,000-mile journey , Varvara visited `` three major breeding areas for eastern gray whales , '' which was a surprise to Mate , who is also the director of the Marine Mammal Institute at Oregon State University . `` For her to go to Mexico , '' Mate said , `` It 's pretty strong evidence that it 's where she 's from . '' Varvara was thought to be an endangered western whale , but her ability to `` navigate across open water over tremendously long distances is impressive , '' he said in the release , which could mean that some western gray whales are actually eastern grays . With only 150 western gray whales believed to be in existence , that number might be even lower . `` Past studies have indicated genetic differentiation between the species , but this suggests we may need to take a closer look , '' Mate said . Fourth baby orca born this season","Varvara traveled 14,000 miles across the Pacific Ocean . ( Hat tip : The Daily Beast )","The whale , Varvara , swam a round trip from Russia to Mexico , nearly 14,000 miles . The previous record was set by a humpback whale that migrated more than 10,000 miles .",0.9166666666666667,0.25,1.0,0.25,0.08507001512732934,0.8315966515393374,0.16492998487267066,0.9149299848726706,0.16492998487267066
32,cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,M0,"( CNN ) After a Russian fighter jet intercepted a U.S. reconnaissance plane in an `` unsafe and unprofessional manner '' earlier this week , the United States is complaining to Moscow about the incident . On Tuesday , a U.S. RC-135U was flying over the Baltic Sea when it was intercepted by a Russian SU-27 Flanker . The Pentagon said the incident occurred in international airspace north of Poland . The U.S. crew believed the Russian pilot 's actions were `` unsafe and unprofessional due to the aggressive maneuvers it performed in close proximity to their aircraft and its high rate of speed , '' Pentagon spokesman Mark Wright said . Russian state news agency Sputnik reported the U.S. plane was flying toward the Russian border with its transponder switched off , according to a Defense Ministry spokesman . Maj. Gen. Igor Konashenkov said the Russian jet flew around the U.S. plane several times to identify it and get its tail number . An official with the U.S. European Command said the claim that the transponder was off was false . Wright said the Pentagon and State Department will `` file the appropriate petition through diplomatic channels '' with Russia . This is not the first time the U.S. has complained about an incident involving a RC-135U and a SU-27 . A year ago , a Russian jet flew within 100 feet of a RC-135U over the Sea of Okhotsk in the western Pacific , according to U.S. officials who called it `` one of the most dangerous close passes in decades . '' The Pentagon complained to the Russia military about that incident . Russian and U.S. aircraft often encounter each other , both in Northern Europe as well as the area between the Russian Far East and Alaska . CNN 's Steve Brusk and Jamie Crawford contributed to this report .","( cnn ) after a russian fighter jet intercepted a u.s. reconnaissance plane in an `` unsafe and unprofessional manner `` earlier this week , the united states is complaining to moscow about the incident . On tuesday , a u.s. rc-135u was flying over the baltic sea when it was intercepted by a russian su-27 flanker . The pentagon said the incident occurred in international airspace north of poland .",The incident occurred on April 7 north of Poland in the Baltic Sea . U.S. says plane was in international airspace . Russia says it had transponder turned off and was flying toward Russia .,0.75,1.0,1.0,0.6666666666666666,0.08760956535686923,0.6623904346431307,0.9123904346431307,0.9123904346431307,0.5790571013097974
34,cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,M10,"( CNN ) After a Russian fighter jet intercepted a U.S. reconnaissance plane in an `` unsafe and unprofessional manner '' earlier this week , the United States is complaining to Moscow about the incident . On Tuesday , a U.S. RC-135U was flying over the Baltic Sea when it was intercepted by a Russian SU-27 Flanker . The Pentagon said the incident occurred in international airspace north of Poland . The U.S. crew believed the Russian pilot 's actions were `` unsafe and unprofessional due to the aggressive maneuvers it performed in close proximity to their aircraft and its high rate of speed , '' Pentagon spokesman Mark Wright said . Russian state news agency Sputnik reported the U.S. plane was flying toward the Russian border with its transponder switched off , according to a Defense Ministry spokesman . Maj. Gen. Igor Konashenkov said the Russian jet flew around the U.S. plane several times to identify it and get its tail number . An official with the U.S. European Command said the claim that the transponder was off was false . Wright said the Pentagon and State Department will `` file the appropriate petition through diplomatic channels '' with Russia . This is not the first time the U.S. has complained about an incident involving a RC-135U and a SU-27 . A year ago , a Russian jet flew within 100 feet of a RC-135U over the Sea of Okhotsk in the western Pacific , according to U.S. officials who called it `` one of the most dangerous close passes in decades . '' The Pentagon complained to the Russia military about that incident . Russian and U.S. aircraft often encounter each other , both in Northern Europe as well as the area between the Russian Far East and Alaska . CNN 's Steve Brusk and Jamie Crawford contributed to this report .","A u.s. rc-135u was flying over the baltic sea when it was intercepted by a russian flanker . The pentagon said the incident occurred in international airspace north of poland . The u.s. crew believed the russian pilot 's actions were `` unsafe and unprofessional , `` pentagon says .",The incident occurred on April 7 north of Poland in the Baltic Sea . U.S. says plane was in international airspace . Russia says it had transponder turned off and was flying toward Russia .,0.8333333333333333,1.0,0.9166666666666667,0.8333333333333333,0.10552622258232405,0.7278071107510092,0.894473777417676,0.8111404440843427,0.7278071107510092
