,id,model,src,reference,candidate,litepyramid_recall,exp_bart_score_cnn_hypo_ref,delta
35,1,semsim_out.txt,"They may look like as if they come from a plague epidemic , but these photos show the shocking amounts of bacteria that grow on money . Thousands of bacteria colonies were discovered on banknotes and coins chosen at random from scientists ’ pockets . The experiment , which involved treating the coins and notes in a substance that allows bacteria to grow quickly , highlights how dirty handling money can be . Thousands of bacteria colonies were discovered on notes and coins chosen at random from scientists ’ pockets . This the bacteria found on one five pound note . The money was collected from students at the university of surrey . It was then submerged in agar - a substance that allows bacteria to grow quickly - and then monitored for three to four days . The students found thousands of bacteria colonies living on their money . While most of the colourful blooms and spots of bacteria was found to be harmless , money has been known to carry dangerous diseases . The most common type of bacteria they discovered living on our coinage was bacillus mycoides , which is harmless . Dr simon park , a senior lecturer in molecular biology at the university , said : ‘ the most common types found are skin bacteria but money has also been shown to harbour mrsa and food poisoning bacteria in other related studies . ’ the experiment , which involved treating the coins in a substance that allows bacteria to grow quickly , highlights how dirty handling money can be . Among the bacteria found on a ten pound note is bacillus mycoides ( shown above ) . It 's common in soil , so it 's likely someone was gardening before handling cash . Currency collected from students were submerged in agar - a substance that allows bacteria to grow quickly - and then monitored for three to four days . This image shows bacteria found on a ten pound note . Thousands of bacteria colonies were found living on the sample of money . Most of the bacteria found on the coins studied was harmless . The most common type of bacteria they discovered living on our coinage was bacillus mycoides , which is harmless . One ten pound note yielded bacillus mycoides , which is common in soil , suggesting that someone was gardening before handling cash . But mrsa and food poisoning bacteria have been found on money in previous studies . The scientists found cases of staphylococcus aureus , which can cause boils and spots on the skin . It is particularly dangerous to people whose immune systems may not be in peak condition , such as people in hospitals . The scientists did find cases of staphylococcus aureus , which can cause boils and spots on the skin . It is particularly dangerous to people whose immune systems may not be in peak condition , such as people in hospitals . Around 20 per cent of people carry the bacteria in their nostrils , which means they likely touched their nose before handling money . Dr park added : ‘ we found that money , be it coins or notes , harbours very large numbers of bacteria . ‘ it is something that we all share so it passes through many many different hands , washed and unwashed . ' It also gets kept in warm and moist pockets , which offer perfect conditions for bacterial growth and survival . ‘ consequently , the populations of bacteria on currency are much larger and more diverse , and money is likely to carry disease causing bacteria . ’ while most of the colourful blooms and spots of bacteria was found to be harmless , money has been known to carry dangerous diseases . This is the bacteria found on a five pound note , including one large bloom . Dr simon park , a senior lecturer in molecular biology at the university , said : ‘ the most common types [ of bacteria ] found are skin bacteria but money has also been shown to harbour mrsa and food poisoning bacteria in other related studies . A stock image is shown . After the experiment , the cash was washed and returned to the students . Dr park said : ‘ we wanted our undergraduates to get familiar with the fact we live in a bacteria world and bacteria is all around us , it ’ s on anything we interact with . ’ the scientists did find cases of staphylococcus aureus , which can cause boils and spots on the skin , but this image shows bacteria from a five pound note , including some bright orange spores . Dr park said : ‘ we wanted our undergraduates to get familiar with the fact we live in a bacteria world and bacteria is all around us , it ’ s on anything we interact with . ’ this image shows a large spreading bacterial colony created from the grime on nine silver and copper coins .","Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .","The money was collected from students at the University of Surrey . Currency was submerged in agar - a substance that allows bacteria to grow quickly . It was then submerged in the substance for three to four days . After the experiment , the cash was washed and returned to the students . Thousands of bacteria colonies were found living on the sample of money . Most of the bacteria found on the coins studied was harmless . But the scientists did find cases of staphylococcus aureus , which can cause boils and spots on the skin . Money has been known to carry dangerous diseases such as MRSA and food poisoning bacteria .",1.0,0.1796174027386472,0.8203825972613528
46,1,t5_out_large.txt,"They may look like as if they come from a plague epidemic , but these photos show the shocking amounts of bacteria that grow on money . Thousands of bacteria colonies were discovered on banknotes and coins chosen at random from scientists ’ pockets . The experiment , which involved treating the coins and notes in a substance that allows bacteria to grow quickly , highlights how dirty handling money can be . Thousands of bacteria colonies were discovered on notes and coins chosen at random from scientists ’ pockets . This the bacteria found on one five pound note . The money was collected from students at the university of surrey . It was then submerged in agar - a substance that allows bacteria to grow quickly - and then monitored for three to four days . The students found thousands of bacteria colonies living on their money . While most of the colourful blooms and spots of bacteria was found to be harmless , money has been known to carry dangerous diseases . The most common type of bacteria they discovered living on our coinage was bacillus mycoides , which is harmless . Dr simon park , a senior lecturer in molecular biology at the university , said : ‘ the most common types found are skin bacteria but money has also been shown to harbour mrsa and food poisoning bacteria in other related studies . ’ the experiment , which involved treating the coins in a substance that allows bacteria to grow quickly , highlights how dirty handling money can be . Among the bacteria found on a ten pound note is bacillus mycoides ( shown above ) . It 's common in soil , so it 's likely someone was gardening before handling cash . Currency collected from students were submerged in agar - a substance that allows bacteria to grow quickly - and then monitored for three to four days . This image shows bacteria found on a ten pound note . Thousands of bacteria colonies were found living on the sample of money . Most of the bacteria found on the coins studied was harmless . The most common type of bacteria they discovered living on our coinage was bacillus mycoides , which is harmless . One ten pound note yielded bacillus mycoides , which is common in soil , suggesting that someone was gardening before handling cash . But mrsa and food poisoning bacteria have been found on money in previous studies . The scientists found cases of staphylococcus aureus , which can cause boils and spots on the skin . It is particularly dangerous to people whose immune systems may not be in peak condition , such as people in hospitals . The scientists did find cases of staphylococcus aureus , which can cause boils and spots on the skin . It is particularly dangerous to people whose immune systems may not be in peak condition , such as people in hospitals . Around 20 per cent of people carry the bacteria in their nostrils , which means they likely touched their nose before handling money . Dr park added : ‘ we found that money , be it coins or notes , harbours very large numbers of bacteria . ‘ it is something that we all share so it passes through many many different hands , washed and unwashed . ' It also gets kept in warm and moist pockets , which offer perfect conditions for bacterial growth and survival . ‘ consequently , the populations of bacteria on currency are much larger and more diverse , and money is likely to carry disease causing bacteria . ’ while most of the colourful blooms and spots of bacteria was found to be harmless , money has been known to carry dangerous diseases . This is the bacteria found on a five pound note , including one large bloom . Dr simon park , a senior lecturer in molecular biology at the university , said : ‘ the most common types [ of bacteria ] found are skin bacteria but money has also been shown to harbour mrsa and food poisoning bacteria in other related studies . A stock image is shown . After the experiment , the cash was washed and returned to the students . Dr park said : ‘ we wanted our undergraduates to get familiar with the fact we live in a bacteria world and bacteria is all around us , it ’ s on anything we interact with . ’ the scientists did find cases of staphylococcus aureus , which can cause boils and spots on the skin , but this image shows bacteria from a five pound note , including some bright orange spores . Dr park said : ‘ we wanted our undergraduates to get familiar with the fact we live in a bacteria world and bacteria is all around us , it ’ s on anything we interact with . ’ this image shows a large spreading bacterial colony created from the grime on nine silver and copper coins .","Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .",Thousands of bacteria colonies were discovered on banknotes and coins . Notes and coins were chosen at random from scientists ’ pockets . Money was collected from students at the university of surrey . It was then submerged in agar and monitored for three to four days . Most of the colourful blooms and spots of bacteria was harmless . But money has been known to carry dangerous diseases such as mrsa .,0.7272727272727273,0.08903466980935254,0.6382380574633748
66,2,heter_graph_out.txt,"With the confirmation of danilo 's summer switch to real madrid , porto have now received a whopping £440million from player sales in the last 11 years . Since winning the champions league under jose mourinho in 2004 the portuguese champions have made a habit of selling on players for huge profits . Aided by lenient work permit laws in portugal owing to the country 's close relationship with brazil the majority of these deals have involved south americans . Porto and brazil right back danilo will join real madrid in the summer in a deal worth £23million . Jose mourinho celebrates winning the 2004 champions league with the portuguese club . Nineteen of the 29 players featured in the table below have south american backgrounds such as now-real madrid superstar james rodriguez . In a deal typical of how porto operate , rodriguez was signed for a small sum from argentinian side banfield before being sold on to wealthy europeans monaco three years later for nearly eight times the price . It is a sustainable model which clearly works . Real madrid superstar james rodriguez is another player off the porto production line . James scores against manchester city playing for porto at the etihad stadium in 2012 . Porto have reached the last eight of this year 's champions league and have won seven of a possible 10 league titles since 2004 . They have progressed past the champions league group stages in seven of the past 10 seasons and also won the europa league in 2011 . Brazil international right back danilo may be on his way but there are sure to be more to come off a production line that includes pepe , joao moutinho and hulk . Colombian international striker jackson martinez is another who could move on in the summer with arsenal among those keeping tabs . *based on exchange rates as of april 2 , 2015 . **porto received 55.6 per cent of transfer fee . ***porto received 80 per cent of transfer fee .","Danilo this week agreed to join Real Madrid in the summer for £ 23million . Transfer will take total raised from player sales to £ 440 m since 2004 . James Rodriguez , Pepe and Radamel Falcao among those sold by Porto . CLICK HERE for all the latest Real Madrid news .","Porto and brazil right back danilo will join real madrid in the summer in a deal worth # 23million . With the confirmation of danilo 's summer switch to real madrid , porto have now received a whopping # 440million from player sales in the last 11 years . Since winning the champions league under jose mourinho in 2004 the portuguese champions have made a habit of selling on players for huge profits .",0.9,0.25122362551397553,0.6487763744860244
74,3,heter_graph_out.txt,"A dominatrix who claims she shared a ' hot , deep kiss ' with prince harry during his infamous party night in vegas three years ago says she felt ' overdressed ' when she saw him playing strip billiards . Carrie reichert , 43 , who has previously said she kissed the prince and has a pair of his underpants she hopes to use in a strip-tease show , has now written a book about the night . In an excerpt from the upcoming in the eye of the royal story , she says she could n't help but notice how ' adorably cute his naked a** was ' , the sun reported . Carrie reichert ( left ) , 43 , has released a teaser from her upcoming book in the eye of the royal story in which she recounts the events of prince harry 's infamous party night . Prince harry , pictured above in las vegas in 2012 , was said to have invited 10 women to party with him at his vip suite at the encore at wynn hotel , including miss reichert . She wrote : ' i 'm only in my bathing suit and feeling overdressed , wondering if i too should strip down and join him in his royal buff . ' Ms reichert went on to claim that alcohol gave her the confidence to approach the prince before they shared a kiss . She said : ' this surreal moment felt more like a dream : i 'm kissing a prince ! Tasting his lips and feeling his tongue , encouraging what is now a hot , deep kiss , both of us excited , anticipating what is yet to come . ' In january , england-born ms reichert said she planned to use a pair of the prince 's underpants for a strip tease act . She remains the only woman to have ever spoken out about the prince 's wild night in vegas , following which pictures of him were leaked showing him playing naked billiards . Ms reichert claims she was one of 10 women picked to party with him in the penthouse suite of the wynn hotel in august 2012 . However , kensington palace has previously denied she was one of the women invited back to the prince 's vip suite and dismissed her story as ' untrue ' . Kensington palace this evening declined to comment when contacted by mailonline . Just weeks after the 2012 party , miss reichert spent a month in harrison county jail in mississippi after being arrested for cheque fraud . And not long after she rose to prominence for her outrageous claims , it was revealed she was a dominatrix who charges $ 1,000 an hour for bdsm sessions . Kensington palace has previously said ms reichert ( pictured ) was not among those invited back to the prince 's vip suite that evening . Not long after she rose to prominence for her outrageous claims , it was revealed ms reichert was a dominatrix who charges $ 1,000 an hour for bdsm sessions .","Dominatrix claims she shared a ' hot , deep kiss ' with Prince Harry in Vegas . Carrie Reichert said she felt overdressed after seeing his ' cute naked a * * ' The 43-year - old made the claim in an excerpt from her upcoming book . Kensington Palace has previously denied she was invited to the hotel suite .","Carrie reichert ( left ) , 43 , has released a teaser from her upcoming book in the eye of the royal story in which she recounts the events of prince harry 's infamous party night . Carrie reichert , 43 , who has previously said she kissed the prince and has a pair of his underpants she hopes to use in a strip-tease show , has now written a book about the night . A dominatrix who claims she shared a ` hot , deep kiss ' with prince harry during his infamous party night in vegas three years ago says she felt ` overdressed ' when she saw him playing strip billiards .",0.6923076923076923,0.17004276848792407,0.5222649238197682
75,3,matchsumm_out.txt,"A dominatrix who claims she shared a ' hot , deep kiss ' with prince harry during his infamous party night in vegas three years ago says she felt ' overdressed ' when she saw him playing strip billiards . Carrie reichert , 43 , who has previously said she kissed the prince and has a pair of his underpants she hopes to use in a strip-tease show , has now written a book about the night . In an excerpt from the upcoming in the eye of the royal story , she says she could n't help but notice how ' adorably cute his naked a** was ' , the sun reported . Carrie reichert ( left ) , 43 , has released a teaser from her upcoming book in the eye of the royal story in which she recounts the events of prince harry 's infamous party night . Prince harry , pictured above in las vegas in 2012 , was said to have invited 10 women to party with him at his vip suite at the encore at wynn hotel , including miss reichert . She wrote : ' i 'm only in my bathing suit and feeling overdressed , wondering if i too should strip down and join him in his royal buff . ' Ms reichert went on to claim that alcohol gave her the confidence to approach the prince before they shared a kiss . She said : ' this surreal moment felt more like a dream : i 'm kissing a prince ! Tasting his lips and feeling his tongue , encouraging what is now a hot , deep kiss , both of us excited , anticipating what is yet to come . ' In january , england-born ms reichert said she planned to use a pair of the prince 's underpants for a strip tease act . She remains the only woman to have ever spoken out about the prince 's wild night in vegas , following which pictures of him were leaked showing him playing naked billiards . Ms reichert claims she was one of 10 women picked to party with him in the penthouse suite of the wynn hotel in august 2012 . However , kensington palace has previously denied she was one of the women invited back to the prince 's vip suite and dismissed her story as ' untrue ' . Kensington palace this evening declined to comment when contacted by mailonline . Just weeks after the 2012 party , miss reichert spent a month in harrison county jail in mississippi after being arrested for cheque fraud . And not long after she rose to prominence for her outrageous claims , it was revealed she was a dominatrix who charges $ 1,000 an hour for bdsm sessions . Kensington palace has previously said ms reichert ( pictured ) was not among those invited back to the prince 's vip suite that evening . Not long after she rose to prominence for her outrageous claims , it was revealed ms reichert was a dominatrix who charges $ 1,000 an hour for bdsm sessions .","Dominatrix claims she shared a ' hot , deep kiss ' with Prince Harry in Vegas . Carrie Reichert said she felt overdressed after seeing his ' cute naked a * * ' The 43-year - old made the claim in an excerpt from her upcoming book . Kensington Palace has previously denied she was invited to the hotel suite .","A dominatrix who claims she shared a ` hot , deep kiss ' with prince harry during his infamous party night in vegas three years ago says she felt ` overdressed ' when she saw him playing strip billiards . Carrie reichert , 43 , who has previously said she kissed the prince and has a pair of his underpants she hopes to use in a strip - tease show , has now written a book about the night . Ms reichert claims she was one of 10 women picked to party with him in the penthouse suite of the wynn hotel in august 2012 .",0.6923076923076923,0.18404285334048992,0.5082648389672024
79,3,neusumm_out.txt,"A dominatrix who claims she shared a ' hot , deep kiss ' with prince harry during his infamous party night in vegas three years ago says she felt ' overdressed ' when she saw him playing strip billiards . Carrie reichert , 43 , who has previously said she kissed the prince and has a pair of his underpants she hopes to use in a strip-tease show , has now written a book about the night . In an excerpt from the upcoming in the eye of the royal story , she says she could n't help but notice how ' adorably cute his naked a** was ' , the sun reported . Carrie reichert ( left ) , 43 , has released a teaser from her upcoming book in the eye of the royal story in which she recounts the events of prince harry 's infamous party night . Prince harry , pictured above in las vegas in 2012 , was said to have invited 10 women to party with him at his vip suite at the encore at wynn hotel , including miss reichert . She wrote : ' i 'm only in my bathing suit and feeling overdressed , wondering if i too should strip down and join him in his royal buff . ' Ms reichert went on to claim that alcohol gave her the confidence to approach the prince before they shared a kiss . She said : ' this surreal moment felt more like a dream : i 'm kissing a prince ! Tasting his lips and feeling his tongue , encouraging what is now a hot , deep kiss , both of us excited , anticipating what is yet to come . ' In january , england-born ms reichert said she planned to use a pair of the prince 's underpants for a strip tease act . She remains the only woman to have ever spoken out about the prince 's wild night in vegas , following which pictures of him were leaked showing him playing naked billiards . Ms reichert claims she was one of 10 women picked to party with him in the penthouse suite of the wynn hotel in august 2012 . However , kensington palace has previously denied she was one of the women invited back to the prince 's vip suite and dismissed her story as ' untrue ' . Kensington palace this evening declined to comment when contacted by mailonline . Just weeks after the 2012 party , miss reichert spent a month in harrison county jail in mississippi after being arrested for cheque fraud . And not long after she rose to prominence for her outrageous claims , it was revealed she was a dominatrix who charges $ 1,000 an hour for bdsm sessions . Kensington palace has previously said ms reichert ( pictured ) was not among those invited back to the prince 's vip suite that evening . Not long after she rose to prominence for her outrageous claims , it was revealed ms reichert was a dominatrix who charges $ 1,000 an hour for bdsm sessions .","Dominatrix claims she shared a ' hot , deep kiss ' with Prince Harry in Vegas . Carrie Reichert said she felt overdressed after seeing his ' cute naked a * * ' The 43-year - old made the claim in an excerpt from her upcoming book . Kensington Palace has previously denied she was invited to the hotel suite .","Carrie Reichert , 43 , who has previously said she kissed the Prince and has a pair of his underpants she hopes to use in a strip-tease show , has now written a book about the night . In an excerpt from the upcoming In the Eye of the Royal Story , she says she could n't help but notice how ` adorably cute his naked a ** was ' , The Sun reported . A dominatrix who claims she shared a ` hot , deep kiss ' with Prince Harry during his infamous party night in Vegas three years ago says she felt ` overdressed ' when she saw him playing strip billiards .",0.8461538461538461,0.3186139557985733,0.5275398903552728
80,3,pnbert_out_bert_tf_sl.txt,"A dominatrix who claims she shared a ' hot , deep kiss ' with prince harry during his infamous party night in vegas three years ago says she felt ' overdressed ' when she saw him playing strip billiards . Carrie reichert , 43 , who has previously said she kissed the prince and has a pair of his underpants she hopes to use in a strip-tease show , has now written a book about the night . In an excerpt from the upcoming in the eye of the royal story , she says she could n't help but notice how ' adorably cute his naked a** was ' , the sun reported . Carrie reichert ( left ) , 43 , has released a teaser from her upcoming book in the eye of the royal story in which she recounts the events of prince harry 's infamous party night . Prince harry , pictured above in las vegas in 2012 , was said to have invited 10 women to party with him at his vip suite at the encore at wynn hotel , including miss reichert . She wrote : ' i 'm only in my bathing suit and feeling overdressed , wondering if i too should strip down and join him in his royal buff . ' Ms reichert went on to claim that alcohol gave her the confidence to approach the prince before they shared a kiss . She said : ' this surreal moment felt more like a dream : i 'm kissing a prince ! Tasting his lips and feeling his tongue , encouraging what is now a hot , deep kiss , both of us excited , anticipating what is yet to come . ' In january , england-born ms reichert said she planned to use a pair of the prince 's underpants for a strip tease act . She remains the only woman to have ever spoken out about the prince 's wild night in vegas , following which pictures of him were leaked showing him playing naked billiards . Ms reichert claims she was one of 10 women picked to party with him in the penthouse suite of the wynn hotel in august 2012 . However , kensington palace has previously denied she was one of the women invited back to the prince 's vip suite and dismissed her story as ' untrue ' . Kensington palace this evening declined to comment when contacted by mailonline . Just weeks after the 2012 party , miss reichert spent a month in harrison county jail in mississippi after being arrested for cheque fraud . And not long after she rose to prominence for her outrageous claims , it was revealed she was a dominatrix who charges $ 1,000 an hour for bdsm sessions . Kensington palace has previously said ms reichert ( pictured ) was not among those invited back to the prince 's vip suite that evening . Not long after she rose to prominence for her outrageous claims , it was revealed ms reichert was a dominatrix who charges $ 1,000 an hour for bdsm sessions .","Dominatrix claims she shared a ' hot , deep kiss ' with Prince Harry in Vegas . Carrie Reichert said she felt overdressed after seeing his ' cute naked a * * ' The 43-year - old made the claim in an excerpt from her upcoming book . Kensington Palace has previously denied she was invited to the hotel suite .","Carrie reichert , 43 , who has previously said she kissed the prince and has a pair of his underpants she hopes to use in a strip-tease show , has now written a book about the night . A dominatrix who claims she shared a ` hot , deep kiss ' with prince harry during his infamous party night in vegas three years ago says she felt ` overdressed ' when she saw him playing strip billiards . Carrie reichert ( left ) , 43 , has released a teaser from her upcoming book in the eye of the royal story in which she recounts the events of prince harry 's infamous party night .",0.7692307692307693,0.1734050584854644,0.5958257107453049
96,4,pnbert_out_bert_tf_pn.txt,"Eva chapin , 34 , from west linn , oregon , was booked into jail after she left a string of offensive post-it notes on the door of the family home . A mother has been arrested for referring to her african-american neighbors as ' apes ' during a dispute over a parking space . Eva chapin , 34 , from west linn , oregon , was booked into jail after she left a string of offensive post-it notes on the door of the family home . The qualified nurse referred to the residents , who are believed to have roots in ghana , as ' n***** ' but wrote : ' i am not racist ' . One of the notes , seen by katu , read : ' apes were never meant to drive so stop . ' Another said : ' i 've been here 22 years and no [ expletive ] and now you . U made me hate [ expletive ] now . ' ' i 'm not racist , ' one of the notes allegedly said , ' but i can see how someone can become [ sic ] hating [ expletive ] . You did this . There were no [ expletive ] in w.l . Until u came . ' Another , which the victims were most disturbed by , said : ' u look like a monkey and you smell like 1 too [ sic ] . ' A woman who lives next door , who only wanted to be identified as elizabeth , told the station she is struggling to explain the content of the messages to her teenage daughter . ' She came back from school supposed to be happy , ' she said . ' This is what she saw . ' ' my little daughter came from school to see this note , ' she added . ' I feel like i ’ m not safe here . ' She has been living in the neighborhood for 11 years but now plans to move . Mark cogan , a friend of elizabeth , told kptv : ' that anybody would feel entitled to address somebody else in the community with this abusive , disgusting , foul , inappropriate language , just makes me sick . ' Scroll down for video . One of the notes read : ' i 'm not racist , ' but i can see how someone can become [ sic ] hating [ expletive ] . You did this . There were no [ expletive ] in w.l . Until u came . ' Another read : ' i 've been here 22 years and no [ expletive ] and now you . U made me hate [ expletive ] now . Chapin was arrested on tuesday and charged with two counts of intimidation and harassment . She has since been released from jail as prosecutors review her case . She is due back in court on may 7 . Records show she is a licensed practical nurse and has a criminal past . In 2012 , she pleaded guilty to reckless driving and dui after she slammed her car into a tree while her two preschool children were home alone . In 2010 , she wrote on her facebook : ' the name of the book obama is reading is the post-american world , and it was written by a fellow muslim . Chapin was arrested on tuesday and charged with two counts of intimidation and harassment . In 2012 ( mugshot right ) she pleaded guilty to reckless driving and dui after she slammed her car into a tree while her two preschool children were home alone .","Eva Chapin , 34 , from West Linn , Oregon , has been accused of harassment . Referred to her neighbors as ' n * * * * * ' but insists she is not racist . One note said : ' There were no [ expletive ] in W.L until you came ' . Victim has said her family may be forced to move as they do n't feel safe .","Eva chapin , 34 , from west linn , oregon , was booked into jail after she left a string of offensive post-it notes on the door of the family home . The qualified nurse referred to the residents , who are believed to have roots in ghana , as ` n ***** ' but wrote : ' i am not racist ' . She has been living in the neighborhood for 11 years but now plans to move .",0.6,0.09124350339239234,0.5087564966076077
98,4,pnbert_out_bert_tf_sl.txt,"Eva chapin , 34 , from west linn , oregon , was booked into jail after she left a string of offensive post-it notes on the door of the family home . A mother has been arrested for referring to her african-american neighbors as ' apes ' during a dispute over a parking space . Eva chapin , 34 , from west linn , oregon , was booked into jail after she left a string of offensive post-it notes on the door of the family home . The qualified nurse referred to the residents , who are believed to have roots in ghana , as ' n***** ' but wrote : ' i am not racist ' . One of the notes , seen by katu , read : ' apes were never meant to drive so stop . ' Another said : ' i 've been here 22 years and no [ expletive ] and now you . U made me hate [ expletive ] now . ' ' i 'm not racist , ' one of the notes allegedly said , ' but i can see how someone can become [ sic ] hating [ expletive ] . You did this . There were no [ expletive ] in w.l . Until u came . ' Another , which the victims were most disturbed by , said : ' u look like a monkey and you smell like 1 too [ sic ] . ' A woman who lives next door , who only wanted to be identified as elizabeth , told the station she is struggling to explain the content of the messages to her teenage daughter . ' She came back from school supposed to be happy , ' she said . ' This is what she saw . ' ' my little daughter came from school to see this note , ' she added . ' I feel like i ’ m not safe here . ' She has been living in the neighborhood for 11 years but now plans to move . Mark cogan , a friend of elizabeth , told kptv : ' that anybody would feel entitled to address somebody else in the community with this abusive , disgusting , foul , inappropriate language , just makes me sick . ' Scroll down for video . One of the notes read : ' i 'm not racist , ' but i can see how someone can become [ sic ] hating [ expletive ] . You did this . There were no [ expletive ] in w.l . Until u came . ' Another read : ' i 've been here 22 years and no [ expletive ] and now you . U made me hate [ expletive ] now . Chapin was arrested on tuesday and charged with two counts of intimidation and harassment . She has since been released from jail as prosecutors review her case . She is due back in court on may 7 . Records show she is a licensed practical nurse and has a criminal past . In 2012 , she pleaded guilty to reckless driving and dui after she slammed her car into a tree while her two preschool children were home alone . In 2010 , she wrote on her facebook : ' the name of the book obama is reading is the post-american world , and it was written by a fellow muslim . Chapin was arrested on tuesday and charged with two counts of intimidation and harassment . In 2012 ( mugshot right ) she pleaded guilty to reckless driving and dui after she slammed her car into a tree while her two preschool children were home alone .","Eva Chapin , 34 , from West Linn , Oregon , has been accused of harassment . Referred to her neighbors as ' n * * * * * ' but insists she is not racist . One note said : ' There were no [ expletive ] in W.L until you came ' . Victim has said her family may be forced to move as they do n't feel safe .","Eva chapin , 34 , from west linn , oregon , was booked into jail after she left a string of offensive post-it notes on the door of the family home . The qualified nurse referred to the residents , who are believed to have roots in ghana , as ` n ***** ' but wrote : ' i am not racist ' . Eva chapin , 34 , from west linn , oregon , was booked into jail after she left a string of offensive post-it notes on the door of the family home .",0.7,0.07743840204951011,0.6225615979504898
102,4,neusumm_out.txt,"Eva chapin , 34 , from west linn , oregon , was booked into jail after she left a string of offensive post-it notes on the door of the family home . A mother has been arrested for referring to her african-american neighbors as ' apes ' during a dispute over a parking space . Eva chapin , 34 , from west linn , oregon , was booked into jail after she left a string of offensive post-it notes on the door of the family home . The qualified nurse referred to the residents , who are believed to have roots in ghana , as ' n***** ' but wrote : ' i am not racist ' . One of the notes , seen by katu , read : ' apes were never meant to drive so stop . ' Another said : ' i 've been here 22 years and no [ expletive ] and now you . U made me hate [ expletive ] now . ' ' i 'm not racist , ' one of the notes allegedly said , ' but i can see how someone can become [ sic ] hating [ expletive ] . You did this . There were no [ expletive ] in w.l . Until u came . ' Another , which the victims were most disturbed by , said : ' u look like a monkey and you smell like 1 too [ sic ] . ' A woman who lives next door , who only wanted to be identified as elizabeth , told the station she is struggling to explain the content of the messages to her teenage daughter . ' She came back from school supposed to be happy , ' she said . ' This is what she saw . ' ' my little daughter came from school to see this note , ' she added . ' I feel like i ’ m not safe here . ' She has been living in the neighborhood for 11 years but now plans to move . Mark cogan , a friend of elizabeth , told kptv : ' that anybody would feel entitled to address somebody else in the community with this abusive , disgusting , foul , inappropriate language , just makes me sick . ' Scroll down for video . One of the notes read : ' i 'm not racist , ' but i can see how someone can become [ sic ] hating [ expletive ] . You did this . There were no [ expletive ] in w.l . Until u came . ' Another read : ' i 've been here 22 years and no [ expletive ] and now you . U made me hate [ expletive ] now . Chapin was arrested on tuesday and charged with two counts of intimidation and harassment . She has since been released from jail as prosecutors review her case . She is due back in court on may 7 . Records show she is a licensed practical nurse and has a criminal past . In 2012 , she pleaded guilty to reckless driving and dui after she slammed her car into a tree while her two preschool children were home alone . In 2010 , she wrote on her facebook : ' the name of the book obama is reading is the post-american world , and it was written by a fellow muslim . Chapin was arrested on tuesday and charged with two counts of intimidation and harassment . In 2012 ( mugshot right ) she pleaded guilty to reckless driving and dui after she slammed her car into a tree while her two preschool children were home alone .","Eva Chapin , 34 , from West Linn , Oregon , has been accused of harassment . Referred to her neighbors as ' n * * * * * ' but insists she is not racist . One note said : ' There were no [ expletive ] in W.L until you came ' . Victim has said her family may be forced to move as they do n't feel safe .","Eva Chapin , 34 , from West Linn , Oregon , was booked into jail after she left a string of offensive post-it notes on the door of the family home . The qualified nurse referred to the residents , who are believed to have roots in Ghana , as ` n ***** ' but wrote : ' I am not racist ' . She has been living in the neighborhood for 11 years but now plans to move .",0.7,0.10327584503896875,0.5967241549610312
